date,day,punch_in,punch_out,early-leave,total-earning,notes
2025-02-01,Saturday,,,False,-,-
2025-02-02,Sunday,,,False,-,-
2025-02-03,Monday,,,False,-,-
2025-02-04,Tuesday,,,False,-,-
2025-02-05,Wednesday,,,False,-,-
2025-02-06,Thursday,,,False,-,-
2025-02-07,Friday,,,False,-,-
2025-02-08,Saturday,,,False,-,-
2025-02-09,Sunday,,,False,-,-
2025-02-10,Monday,,,False,-,-
2025-02-11,Tuesday,,,False,-,-
2025-02-12,Wednesday,,,False,-,-
2025-02-13,Thursday,,,False,-,-
2025-02-14,Friday,,,False,-,-
2025-02-15,Saturday,,,False,-,-
2025-02-16,Sunday,,,False,-,-
2025-02-17,Monday,,,False,-,-
2025-02-18,Tuesday,,,False,-,-
2025-02-19,Wednesday,,,False,-,-
2025-02-20,Thursday,,,False,-,-
2025-02-21,Friday,,,False,-,-
2025-02-22,Saturday,,,False,-,-
2025-02-23,Sunday,,,False,-,-
2025-02-24,Monday,,,False,-,-
2025-02-25,Tuesday,,,False,-,-
2025-02-26,Wednesday,,,False,-,-
2025-02-27,Thursday,,,False,-,-
2025-02-28,Friday,,,False,-,-
