date,day,punch_in,punch_out,early-leave,total-earning,notes
2025-01-01,Wednesday,2025-02-01 08:00:00,2025-02-01 18:00:00,False,0,-
2025-01-02,Thursday,,,False,0,-
2025-01-03,Friday,,,False,0,-
2025-01-04,Saturday,,,False,0,-
2025-01-05,Sunday,,,False,0,-
2025-01-06,Monday,,,False,0,-
2025-01-07,Tuesday,,,False,0,-
2025-01-08,Wednesday,,,False,0,-
2025-01-09,Thursday,,,False,0,-
2025-01-10,Friday,,,False,0,-
2025-01-11,Saturday,,,False,0,-
2025-01-12,Sunday,,,False,0,-
2025-01-13,Monday,,,False,0,-
2025-01-14,Tuesday,,,False,0,-
2025-01-15,Wednesday,,,False,0,-
2025-01-16,Thursday,,,False,0,-
2025-01-17,Friday,,,False,0,-
2025-01-18,Saturday,,,False,0,-
2025-01-19,Sunday,,,False,0,-
2025-01-20,Monday,,,False,0,-
2025-01-21,Tuesday,,,False,0,-
2025-01-22,Wednesday,,,False,0,-
2025-01-23,Thursday,,,False,0,-
2025-01-24,Friday,,,False,0,-
2025-01-25,Saturday,,,False,0,-
2025-01-26,Sunday,,,False,0,-
2025-01-27,Monday,,,False,0,-
2025-01-28,Tuesday,,,False,0,-
2025-01-29,Wednesday,,,False,0,-
2025-01-30,Thursday,,,False,0,-
2025-01-31,Friday,,,False,0,-
